,description,Latent_Dim80
"('ethnicity', '')_5.0",Race Ethnicity (Child),-0.0830217902962119
"('reshist_addr1_coi_ed_college', 'baseline_year_1_arm_1')",Education Domain: College enrollment in nearby institutions,0.14376139081906594
"('reshist_addr1_coi_he_heat', 'baseline_year_1_arm_1')",Health and Environment Domain: Extreme heat exposure,-0.12690434052236432
"('reshist_addr1_years', 'baseline_year_1_arm_1')_3.0",Residential history years of residence 1,-0.06883791467832681
